timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud,pue,wue
2026-08-12T14:34:40,codecarbon,fd9ffb63-7ea9-4f53-8f04-5714ca066f2c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,24.035812699934468,8.896319113477044e-05,3.7012766011033606e-06,17.000339922285715,17.959682498177052,20.0,9.816145782279321e-05,0.00016082012865759054,0.00011545995388878509,0.0003744415403691688,0.0,United Kingdom,GBR,england,,,Windows-11-10.0.26200-SP0,3.13.11,3.2.9,32,AMD Ryzen 9 9950X 16-Core Processor,1,1 x NVIDIA GeForce RTX 5080,-1.4407,52.9887,31.148883819580078,machine,0.0,1.15,49.595,15.448644065856934,N,1.0,0.0
2026-08-12T14:35:32,codecarbon,7a24308d-955e-43cf-8165-31e78b1b913f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,14.00584869994782,4.661713081920108e-05,3.328404569969027e-06,17.000633732954547,176.22798170534722,20.0,5.074828233680289e-05,8.577729084358054e-05,5.968355611096033e-05,0.00019620912929134378,0.0,United Kingdom,GBR,england,,,Windows-11-10.0.26200-SP0,3.13.11,3.2.9,32,AMD Ryzen 9 9950X 16-Core Processor,1,1 x NVIDIA GeForce RTX 5080,-1.4407,52.9887,31.148883819580078,machine,0.0,1.7,49.97,15.565205383300782,N,1.0,0.0
2026-08-12T14:36:04,codecarbon,69e1346c-01ef-4527-9e27-7f6bcbc532f9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,10.968597800005227,3.353623618599501e-05,3.0574770629276815e-06,17.0015909609375,286.0500892129031,20.0,3.647712836995292e-05,6.178838276316156e-05,4.288679888963492e-05,0.0001411523100227494,0.0,United Kingdom,GBR,england,,,Windows-11-10.0.26200-SP0,3.13.11,3.2.9,32,AMD Ryzen 9 9950X 16-Core Processor,1,1 x NVIDIA GeForce RTX 5080,-1.4407,52.9887,31.148883819580078,machine,0.0,4.714285714285714,50.114285714285714,15.604872022356306,N,1.0,0.0
2026-08-12T14:36:30,codecarbon,bc605fe9-5029-4785-a48f-34b94dbb248f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5.964077000040561,1.7300447266567438e-05,2.9007753029428995e-06,17.073013844000002,184.31550127483305,20.0,1.2935606103383927e-05,4.4802535841270696e-05,1.5078559445424213e-05,7.281670139007883e-05,0.0,United Kingdom,GBR,england,,,Windows-11-10.0.26200-SP0,3.13.11,3.2.9,32,AMD Ryzen 9 9950X 16-Core Processor,1,1 x NVIDIA GeForce RTX 5080,-1.4407,52.9887,31.148883819580078,machine,0.0,21.5,50.05,15.592449188232422,N,1.0,0.0
2026-08-12T14:37:19,codecarbon,27e68403-4c85-4c4a-9ede-1478bb63d1a5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,6.418131100013852,1.711402171585158e-05,2.666511707094086e-06,17.765611235,22.770869215958015,20.0,1.5035510881943144e-05,3.940864263807242e-05,1.7587892222218216e-05,7.203204574223378e-05,0.0,United Kingdom,GBR,england,,,Windows-11-10.0.26200-SP0,3.13.11,3.2.9,32,AMD Ryzen 9 9950X 16-Core Processor,1,1 x NVIDIA GeForce RTX 5080,-1.4407,52.9887,31.148883819580078,machine,0.0,4.666666666666667,50.20000000000001,15.642704010009766,N,1.0,0.0
2026-08-12T14:38:07,codecarbon,379d7d1f-3441-4cb7-9080-d3cb99982f2e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,7.01031449995935,1.8366758340104708e-05,2.6199621058671775e-06,17.011335464,320.319181983733,20.0,1.76574231456436e-05,3.8915586688226256e-05,2.073174055484641e-05,7.730475038871627e-05,0.0,United Kingdom,GBR,england,,,Windows-11-10.0.26200-SP0,3.13.11,3.2.9,32,AMD Ryzen 9 9950X 16-Core Processor,1,1 x NVIDIA GeForce RTX 5080,-1.4407,52.9887,31.148883819580078,machine,0.0,19.333333333333332,49.76666666666667,15.49789555867513,N,1.0,0.0
2026-08-12T14:38:25,codecarbon,80aac8a3-5770-420d-9993-9e956eb42788,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,7.238136900123209,2.1069522136352585e-05,2.9109040664862165e-06,17.010163809125,310.6221860422004,20.0,1.8860875747256514e-05,4.766920480125947e-05,2.2150465000110367e-05,8.868054554862635e-05,0.0,United Kingdom,GBR,england,,,Windows-11-10.0.26200-SP0,3.13.11,3.2.9,32,AMD Ryzen 9 9950X 16-Core Processor,1,1 x NVIDIA GeForce RTX 5080,-1.4407,52.9887,31.148883819580078,machine,0.0,2.6666666666666665,49.53333333333333,15.420332590738932,N,1.0,0.0
2026-08-12T14:40:14,codecarbon,db698547-b1b1-438c-9e83-d5791ed22eab,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5.323025100165978,1.0558758716250977e-05,1.9836011511427483e-06,17.080216064,20.93985060618534,20.0,9.787644041691202e-06,2.3262518610067673e-05,1.1391115001040613e-05,4.4441277652799485e-05,0.0,United Kingdom,GBR,england,,,Windows-11-10.0.26200-SP0,3.13.11,3.2.9,32,AMD Ryzen 9 9950X 16-Core Processor,1,1 x NVIDIA GeForce RTX 5080,-1.4407,52.9887,31.148883819580078,machine,0.0,0.0,49.7,15.477344512939453,N,1.0,0.0
2026-08-12T14:42:19,codecarbon,8d49a449-1c93-421c-9a46-21c7baf477d4,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,6.462111300090328,1.5896230421290285e-05,2.4599128184418747e-06,17.0399289455,254.03997327061225,20.0,1.511306973170778e-05,3.4068082809923794e-05,1.772527166693989e-05,6.690642420857147e-05,0.0,United Kingdom,GBR,england,,,Windows-11-10.0.26200-SP0,3.13.11,3.2.9,32,AMD Ryzen 9 9950X 16-Core Processor,1,1 x NVIDIA GeForce RTX 5080,-1.4407,52.9887,31.148883819580078,machine,0.0,13.333333333333334,49.29999999999999,15.352638244628906,N,1.0,0.0
2026-08-12T14:45:17,codecarbon,45380819-97e3-40a9-beeb-e80b3a05532e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,115.1645537998993,0.0004482165479951339,3.891966175407748e-06,17.000016456,86.70659512547401,20.0,0.0005438158382067144,0.0007030069512952153,0.0006396978322235453,0.0018865206217254752,0.0,United Kingdom,GBR,england,,,Windows-11-10.0.26200-SP0,3.13.11,3.2.9,32,AMD Ryzen 9 9950X 16-Core Processor,1,1 x NVIDIA GeForce RTX 5080,-1.4407,52.9887,31.148883819580078,machine,0.0,1.2280701754385965,49.22631578947369,15.331969177513791,N,1.0,0.0
